seqnames start end col gene Common_name
bs_chr31 29338 31160 #bd6959 CLEC2D.3 CLEC2D.3
bs_chr31 410123 412328 #5d5cb8 leukotriene-B4-receptor leukotriene-B4-receptor
bs_chr31 658142 660719 #5d5cb8 MHC-class-2-Mb MHC-class-2-Mb
bs_chr31 68887 73131 #5d5cb8 KLRB1C KLRB1C
bs_chr31 37516 42547 #bd6959 KLRB1B KLRB1B
bs_chr31 31917 36980 #5d5cb8 CLEC2D.2 CLEC2D.2
bs_chr31 43426 47387 #bd6959 CLEC2E CLEC2E
bs_chr31 51660 59545 #5d5cb8 FCER_C-type-lectin FCER_C-type-lectin
bs_chr31 232303 239080 #bd6959 TRIM41 TRIM41
bs_chr31 706873 711848 #5d5cb8 BRD2 BRD2
bs_chr31 522446 526368 #5d5cb8 CENPA CENPA
bs_chr31 761808 771314 #5d5cb8 GABBR1 GABBR1
bs_chr31 126043 129628 #5d5cb8 IL4I1 LAO
bs_chr31 654668 657805 #5d5cb8 LOC118260273 MHC-class-2-DM-b-2
bs_chr31 660811 663766 #5d5cb8 LOC118260274 MHC-class-2-Ma
bs_chr31 42494 52830 #5d5cb8 LOC118260275 CLEC2B.1
bs_chr31 19444 24742 #5d5cb8 LOC118260276 TRIM7.4
bs_chr31 24905 31168 #5d5cb8 LOC118260277 CLEC2B.2
bs_chr31 86815 94667 #5d5cb8 LOC118260279 ZFP.8
bs_chr31 380801 396025 #5d5cb8 LOC118260281 ZFP.5
bs_chr31 283624 292997 #5d5cb8 LOC118260284 ZFP.6
bs_chr31 95514 102918 #5d5cb8 LOC118260288 TRIM7.3
bs_chr31 221305 228816 #5d5cb8 LOC118260289 TRIM39.3
bs_chr31 244624 267655 #5d5cb8 LOC118260290 TRIM10
bs_chr31 111323 114356 #5d5cb8 LOC118260291 CKR1
bs_chr31 136087 147360 #5d5cb8 LOC118260292 TRIM7.2
bs_chr31 201009 205543 #5d5cb8 LOC118260293 ZFP.7
bs_chr31 347505 352575 #5d5cb8 LOC118260294 TRIM39.1
bs_chr31 190552 197258 #5d5cb8 LOC118260295 TRIM39.5
bs_chr31 177581 184027 #5d5cb8 LOC118260297 TRIM39.2
bs_chr31 269490 272542 #5d5cb8 LOC118260298 TRIM7.1
bs_chr31 563795 577865 #5d5cb8 LOC118260299 MHC-class-1-F10-a
bs_chr31 272723 275674 #5d5cb8 LOC118260302 KLRF1
bs_chr31 10028 15210 #5d5cb8 LOC118260311 ZFP.9
bs_chr31 206926 218585 #5d5cb8 LOC118260312 TRIM39.4
bs_chr31 32919 36843 #5d5cb8 LOC118260314 CLEC2D.1
bs_chr31 82582 84231 #5d5cb8 LOC118260316 KLRF1.2
bs_chr31 106436 282449 #5d5cb8 LOC118260317 ZFP.9
bs_chr31 434160 453460 #5d5cb8 LOC118260322 ZFP.4
bs_chr31 454293 459657 #5d5cb8 LOC118260323 ZFP.3
bs_chr31 461624 466950 #5d5cb8 LOC118260324 CD1b3-like
bs_chr31 468509 470253 #5d5cb8 LOC118260325 CD1d-like
bs_chr31 541197 562672 #5d5cb8 LOC118260329 Complement-C4-like
bs_chr31 658476 660501 #5d5cb8 LOC118260336 MHC-class-2-DM-b-1
bs_chr31 793872 800891 #5d5cb8 LOC118261239 ZFP.1
bs_chr31 781460 791356 #5d5cb8 LOC118261243 ZFP.2
bs_chr31 692944 694644 #5d5cb8 LOC118261529 MHC-class-2-DRa-1
bs_chr31 672022 687298 #5d5cb8 LOC118261530 COL11A2
bs_chr31 695143 697193 #5d5cb8 LOC118261531 MHC-class-2-BLb-2
bs_chr31 702524 704558 #5d5cb8 LOC118261532 MHC-class-2-BLb-1
bs_chr31 731633 739495 #5d5cb8 MDC1 MDC1
bs_chr31 239796 244625 #5d5cb8 RACK1 GNB2L
bs_chr31 582778 589123 #5d5cb8 TAP1 TAP1
bs_chr31 578826 582433 #5d5cb8 TAP2 TAP2
bs_chr31 475835 513943 #5d5cb8 TNXB TNXB
chr33 141823 150142 #bd6959 BRD2 BRD2
chr33 290664 294244 #bd6959 CENPA CENPA
chr33 102487 123420 #bd6959 COL11A2 COL11A2
chr33 51516 62876 #bd6959 GABBR1 GABBR1
chr33 554159 569304 #bd6959 LOC121062596 TRIM39.4
chr33 724436 726245 #bd6959 LOC121062597 CLEC2D.3
chr33 668168 670502 #bd6959 LOC121062598 KLRF1.2
chr33 254537 275845 #bd6959 LOC121062604 Complement-C4-like
chr33 371641 420064 #bd6959 LOC121062605 ZFP.4
chr33 642306 647216 #bd6959 LOC121062606 ZFP.7
chr33 356091 366440 #bd6959 LOC121062610 ZFP.3
chr33 483422 492308 #bd6959 LOC121062614 ZFP.5
chr33 34640 40331 #bd6959 LOC121062619 ZFP.2
chr33 21754 29739 #bd6959 LOC121062620 ZFP.1
chr33 569451 576680 #bd6959 LOC121062622 TRIM7.1
chr33 546235 554001 #bd6959 LOC121062624 TRIM39.3
chr33 649946 657331 #bd6959 LOC121062628 TRIM7.3
chr33 493936 499831 #bd6959 LOC121062630 ZFP.6
chr33 508699 526576 #bd6959 LOC121062632 TRIM39.2
chr33 636839 641636 #bd6959 LOC121062633 CKR1
chr33 604994 616323 #bd6959 LOC121062635 LAO
chr33 604994 616323 #bd6959 LOC121062635 TRIM7.2
chr33 447612 451556 #bd6959 LOC121062637 TRIM39.1
chr33 578152 584059 #bd6959 LOC121062638 TRIM39.5
chr33 346014 354706 #bd6959 LOC121062642 CD1b3-like
chr33 230272 244431 #bd6959 LOC121062643 MHC-class-1-F10-a
chr33 387820 390009 #bd6959 LOC121062645 leukotriene-B4-receptor
chr33 129854 132061 #bd6959 LOC121062647 MHC-class-2-BLb-1
chr33 154620 157153 #bd6959 LOC121062649 MHC-class-2-Mb
chr33 499968 503688 #bd6959 LOC121062651 KLRF1
